model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,mae,rmse,brier,log_loss,ece,edge_spearman,section,edge_min,edge_gap_min
edge>=15_eg>=5,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,239,148,91,0,0.6192468619246861,-34.00418410041841,0.5265662504000834,0.18187220838339263,43.467457803630836,0.002402809757108626,0.06019234237068628,0.1815660951329915,0.3011544274684444,2.9765249601023975,-7.130594477012153,4.0,0.0018,0,,,,,,,,,,robustness,15.0,5.0
edge>=15_eg>=10,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,201,124,77,0,0.6169154228855721,-51.691542288557216,0.5365552537284549,0.1496835294985194,30.0863894292024,0.01305746455069905,0.02164780683345928,0.1516494941676888,0.27744424483313357,2.3029567394735224,-8.101468263419903,4.0,0.0134,0,,,,,,,,,,robustness,15.0,10.0
edge>=15_eg>=12,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,178,109,69,0,0.6123595505617978,-62.52247191011236,0.541829792033643,0.13224256152802763,23.53917595198892,0.03436176110854377,-0.007145232453220172,0.13344456929084905,0.26248550049036024,1.9242541975336687,-8.607751286670894,4.0,0.0278,0,,,,,,,,,,robustness,15.0,12.0
edge>=15_eg>=15,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,148,92,56,0,0.6216216216216216,-69.28378378378379,0.5462520554734001,0.1401388926605876,20.740556113766964,0.03863735596157553,-0.00604209460566792,0.13760632061941858,0.2878303160777897,1.8820693256349765,-6.526753005777817,4.0,0.0318,0,,,,,,,,,,robustness,15.0,15.0
base_selected_through_0629,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,683,385,298,0,0.5636896046852123,-15.266471449487556,0.5180877537906565,0.09319627725054025,63.65305736211899,0.009381529591107319,0.022853164025656268,0.09394686767742952,0.17009937341486886,2.483636322806363,-18.594579687947437,6.0,0.0064,309,1.3235118238658596,0.8695652173913215,0.5598705501618123,,,,,,,robustness,,
remove_top5_wins,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,678,380,298,0,0.56047197640118,-16.48230088495575,0.5189529052750211,0.08285111705327286,56.173057362118996,0.016670790187304253,0.008472769801935443,0.08259673790699401,0.15648597442139633,2.2085363204246304,-18.59457968794745,6.0,0.0138,306,1.2600819749108636,0.8520055726475961,0.5555555555555556,,,,,,,robustness,,
remove_top10_wins,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,673,375,298,0,0.5572065378900446,-17.649331352154533,0.5197204761902717,0.07302088761087516,49.14305736211899,0.028076004615040607,0.000919206421142377,0.07349172833961881,0.1477584381821343,1.9454560872973157,-18.59457968794745,6.0,0.0288,302,1.2443879452660116,0.8520055726475961,0.5562913907284768,,,,,,,robustness,,
remove_worst5,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,678,385,293,0,0.5678466076696165,-15.93952802359882,0.518481460807377,0.10125819669929054,68.65305736211899,0.005568148759716726,0.026035856201312428,0.1005765491817456,0.17273506559219406,2.6910909138662893,-18.59457968794746,6.0,0.0046,308,1.3532736715241969,0.8733790999237212,0.5616883116883117,,,,,,,robustness,,
first_half,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-05-08,341,204,137,0,0.5982404692082112,0.8152492668621701,0.5129431248897266,0.17875922071556152,60.95689426400648,0.0009424864559061649,0.0753631700921362,0.17888461159567537,0.2841435202304538,3.3429051261778784,-9.906009315603647,6.0,0.0,142,2.084082862971369,1.0249343832020918,0.5915492957746479,,,,,,,robustness,,
second_half,selected_bet_robustness_through_2026_06_29,2026-05-08,2026-06-29,342,181,161,0,0.5292397660818714,-31.301169590643276,0.5232173399170224,0.007883517830738316,2.696163098112504,0.43329110985066277,-0.09157766248632862,0.0073845885985849066,0.10833374845731326,0.15064850429834872,-18.59457968794744,6.0,0.4484,167,0.6767987247462051,0.4690431519699833,0.5329341317365269,,,,,,,robustness,,
favorites,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,360,219,141,0,0.6083333333333333,-136.52777777777777,0.5736365236830867,0.06420293711699719,23.11305736211899,0.10031583421973989,-0.02152780395481,0.06442536604503984,0.15072368709626557,1.4161850572185901,-11.585647800844693,4.0,0.0788,130,0.24637534641259085,0.6610844446164887,0.5461538461538461,,,,,,,robustness,,
underdogs,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,323,166,157,0,0.5139318885448917,119.88544891640866,0.45617581211488295,0.12551083591331266,40.53999999999999,0.021447061701388895,0.009435758513931877,0.12637770897832817,0.24727863777089776,2.050643893390472,-12.860000000000014,4.0,0.023,179,2.105789712519072,0.9090909090908816,0.5698324022346368,,,,,,,robustness,,
low_line_<=5.5,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,483,270,213,0,0.5590062111801242,10.337474120082815,0.505135088472569,0.11331020616959864,54.728829579916145,0.010037129945674765,0.02048441251040702,0.11309971404101382,0.2008187428565041,2.4729985821093643,-9.98887311914254,5.0,0.0074,211,1.0796226665476438,0.8771929824561209,0.5734597156398105,,,,,,,robustness,,
high_line_>=6.5,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,200,115,85,0,0.575,-77.1,0.5493684405338378,0.04462113891101421,8.924227782202843,0.2559180525920855,-0.08172832891420155,0.04389875287963777,0.16813532300013523,0.6899487379159893,-13.521164085517515,6.0,0.2436,98,1.8486201115612018,0.712382350020413,0.5306122448979592,,,,,,,robustness,,
juice_cap_not_worse_than_-140,selected_bet_robustness_through_2026_06_29,2026-03-26,2026-06-29,528,286,242,0,0.5416666666666666,26.40530303030303,0.4910347927376206,0.10633145249076123,56.14300691512193,0.011181801266684508,0.021658732183130833,0.10561761259924216,0.19184549359760122,2.3726516225460403,-17.556476844634602,7.0,0.0094,270,1.5526689192030039,0.8520055726475961,0.5666666666666667,,,,,,,robustness,,
