model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,group_type,group
30-50,grouped_current_model,2026-03-26,2026-06-28,87,54,33,0,0.6206896551724138,23.275862068965516,0.49188267461424506,0.2699748516418963,23.487812092844976,0.010639916537702892,0.054163260235591364,0.2728526584095191,0.4771077121330582,2.484242592680765,-6.107142857142858,6,0.0064,69,2.371411030955709,0.4878048780487809,0.5217391304347826,edge_bucket,30-50
50+,grouped_current_model,2026-04-03,2026-06-28,9,3,6,0,0.3333333333333333,96.0,0.45961547945088477,-0.26666666666666666,-2.4,0.8636596624915813,-1.0,-0.26666666666666666,0.4670833333333274,-0.725588140132029,-5.0,5,0.8146,8,8.230896974890882,0.0,0.375,edge_bucket,50+
0-.25,grouped_current_model,2026-03-26,2026-06-29,213,107,106,0,0.5023474178403756,99.85915492957747,0.4627679582020911,0.07836975629302739,16.692758090414834,0.13795411685435416,-0.06968413694146021,0.07808601027839993,0.22502302991338788,1.0587192714650666,-12.14,6,0.1388,107,1.1109873192742208,0.8695652173913215,0.5607476635514018,abs_gap_bucket,0-.25
.25-.5,grouped_current_model,2026-03-26,2026-06-24,131,74,57,0,0.5648854961832062,38.83206106870229,0.4779584740746243,0.19604702091621073,25.682159740023607,0.028446439392711385,0.01168439587670302,0.1966366924209671,0.3788501559560523,2.1042637404735283,-5.662990602542841,4,0.0194,62,2.8535956271398866,1.3832228454869977,0.6935483870967742,abs_gap_bucket,.25-.5
.5-.75,grouped_current_model,2026-04-01,2026-06-29,102,61,41,0,0.5980392156862745,-75.23529411764706,0.5425559637597202,0.10971831975247827,11.191268614752783,0.15254033567042452,-0.07242469158173066,0.10977383856979608,0.29030679075853777,1.2000121117265206,-9.203314197315915,4,0.1152,39,0.9132244010538384,0.0,0.46153846153846156,abs_gap_bucket,.5-.75
.75-1,grouped_current_model,2026-03-27,2026-06-29,109,65,44,0,0.5963302752293578,-107.72477064220183,0.5702822892643704,0.05277872715389346,5.752881259774387,0.3268242259380143,-0.11990379851677696,0.050870831364636895,0.22053385275178747,0.6267235220346632,-10.10725743735489,8,0.25,47,-1.2702970884430391,0.0,0.46808510638297873,abs_gap_bucket,.75-1
1-1.5,grouped_current_model,2026-03-26,2026-06-28,106,62,44,0,0.5849056603773585,-136.37735849056602,0.5885463797941823,-0.014503958593865116,-1.5374196109497023,0.5715775602615093,-0.17513210373561205,-0.015008026722440206,0.13889014650513548,-0.17789539264814846,-8.629112894903816,4,0.5628,38,3.986518051259782,2.1629791927839093,0.631578947368421,abs_gap_bucket,1-1.5
1.5+,grouped_current_model,2026-04-01,2026-06-29,22,16,6,0,0.7272727272727273,-132.36363636363637,0.5811093884866391,0.266882239459231,5.871409268103083,0.11904388264353213,-0.0706689740528607,0.2699654047944666,0.5890237978969443,1.560686315150122,-2.0,2,0.0612,16,-0.8895558064132847,0.0,0.375,abs_gap_bucket,1.5+
108,grouped_current_model,2026-04-01,2026-06-14,10,6,4,0,0.6,-8.0,0.5141161220075967,0.14577370478983379,1.4577370478983378,0.4121447242186097,-0.450983870967742,0.14152419354838702,0.7312898338220919,0.45836709939094183,-4.0,4,0.3252,6,1.2158091070692747,1.1363636363636354,0.5,team,108
109,grouped_current_model,2026-04-01,2026-06-13,11,6,5,0,0.5454545454545454,48.63636363636363,0.4914050611012158,0.10515151515151516,1.1566666666666667,0.4767446863160929,-0.48000000000000004,0.1051515151515152,0.7000075757575757,0.3250098453691446,-2.523333333333334,2,0.3758,5,4.072727272727269,1.333333333333342,0.6,team,109
