date,pitcher,side,proj,gap,edge,odds,actual,won,pnl,clv
2025-08-03,Joey Cantillo,under 5.5,4.98,0.52,16.8,100,9,False,-100.0,6.98
2025-08-02,Jake Irvin,under 3.5,3.24,0.26,16.7,105,2,True,105.0,9.65
2025-08-02,Austin Gomber,over 3.5,4.28,0.78,15.7,105,5,True,105.0,0.0
2025-08-02,Zack Wheeler,under 7.5,6.13,1.37,35.7,110,10,False,-100.0,
2025-08-02,Paul Skenes,under 6.5,4.85,1.65,40.3,105,8,False,-100.0,-6.82
2025-08-02,Cam Schlittler,under 4.5,4.14,0.36,20.5,110,6,False,-100.0,-2.33
2025-08-02,Kai-Wei Teng,over 3.5,4.33,0.83,16.8,105,4,True,105.0,15.87
2025-08-01,Mitchell Parker,over 3.5,3.86,0.36,20.8,135,3,False,-100.0,17.5
2025-08-01,Janson Junk,over 4.5,4.83,0.33,16.4,130,4,False,-100.0,4.55
2025-07-30,Freddy Peralta,under 6.5,4.89,1.61,20.6,-130,3,True,77.0,6.15
2025-07-30,Zebby Matthews,under 5.5,4.52,0.98,29.9,105,4,True,105.0,9.65
2025-07-30,Ryne Nelson,over 4.5,5.16,0.66,19.1,120,8,True,120.0,10.0
2025-07-30,Kolby Allard,under 2.5,2.08,0.42,24.9,105,5,False,-100.0,9.65
2025-07-29,Nick Lodolo,under 4.5,4.61,0.11,16.5,125,11,False,-100.0,0.0
2025-07-29,Sonny Gray,under 5.5,3.91,1.59,30.3,-115,5,True,87.0,1.98
2025-07-28,Drew Rasmussen,under 4.5,4.18,0.32,16.6,105,5,False,-100.0,2.5
2025-07-28,Cam Schlittler,under 4.5,4.13,0.37,23.7,115,5,False,-100.0,-4.44
2025-07-28,Slade Cecconi,under 5.5,4.69,0.81,23.0,100,3,True,100.0,4.76
2025-07-27,Jack Leiter,under 4.5,4.3,0.2,19.1,115,7,False,-100.0,4.88
2025-07-27,Tomoyuki Sugano,under 3.5,3.3,0.2,29.0,130,8,False,-100.0,
