Bet ID,Date,Game Date,Pitcher,Team,Opponent,Home/Away,Sportsbook,Opening Odds,Closing Odds,Executed Odds,Exchange-adjusted Odds,Strikeout Line,Model Projection,Market Projection,Margin,Devig Edge,Model Probability,Market Implied Probability,Bet Side,Odds,Decimal Odds,American Odds,Units Risked,Units Won/Lost,Stake ($),Profit/Loss ($),ROI for Bet,CLV,Result,Running Win %,Running ROI,Running Units,Running Bankroll,Year,Month,Odds Bucket,Model Sample,Kelly Fraction
KPROP-00630,2026-04-19 13:35:37,2026-04-19,Robbie Ray,137,120,Away,draftkings,,,-145.0,-145.0,6.5,5.328124362687071,6.5,1.1718756373129287,0.2043934377710771,0.7128042794971681,0.5868465430016863,Under,-145.0,1.6896551724137931,-145.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5698412698412698,0.11288456160172917,71.11727380908938,17111.727380908946,2026,2026-04,-149 to -120,2026 Frozen Test,0.29637048476806177
KPROP-00631,2026-04-19 13:35:37,2026-04-19,Ryan Weathers,147,118,Home,betmgm,,,-125.0,-125.0,5.5,4.941968481886692,5.5,0.5580315181133084,0.12705585751291015,0.6261421430627279,0.5443037974683544,Under,-125.0,1.8,-125.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5689381933438986,0.11112087766892137,70.11727380908938,17011.727380908946,2026,2026-04,-149 to -120,2026 Frozen Test,0.1588198218911377
KPROP-00632,2026-04-20 19:40:38,2026-04-20,Aaron Nola,143,112,Away,betmgm,,,-135.0,-135.0,5.5,4.895679255292786,5.5,0.6043207447072136,0.10408019129077273,0.6342588332946992,0.5537409798708697,Under,-135.0,1.7407407407407407,-135.0,1.0,0.7407407407407407,100.0,74.07407407407408,0.7407407407407407,,Win,0.569620253164557,0.11211711162947806,70.85801454983013,17085.80145498302,2026,2026-04,-149 to -120,2026 Frozen Test,0.14050825824254318
KPROP-00633,2026-04-20 11:10:38,2026-04-20,Jack Flaherty,116,111,Away,fanduel,,,126.0,126.0,5.5,5.113140912326362,5.5,0.3868590876736384,0.3472232669294966,0.5961164897918128,0.42510328814832515,Under,126.0,2.26,126.0,1.0,1.2599999999999998,100.0,125.99999999999997,1.2599999999999998,,Win,0.5703001579778831,0.11393051271695125,72.11801454983014,17211.80145498302,2026,2026-04,+121 to +150,2026 Frozen Test,0.27557402137261644
KPROP-00634,2026-04-20 11:10:38,2026-04-20,Jack Flaherty,116,111,Away,betmgm,,,-140.0,-140.0,6.5,5.113140912326362,6.5,1.3868590876736384,0.2779307415549973,0.745459599240415,0.5445920303605313,Under,-140.0,1.7142857142857144,-140.0,1.0,0.7142857142857144,100.0,71.42857142857144,0.7142857142857144,,Win,0.5709779179810726,0.11487744521153918,72.83230026411584,17283.23002641159,2026,2026-04,-149 to -120,2026 Frozen Test,0.38910303817699615
KPROP-00635,2026-04-21 18:45:38,2026-04-21,Foster Griffin,120,144,Home,betrivers,,,155.0,155.0,3.5,3.8132147538601546,3.5,-0.3132147538601546,0.20050183813996902,0.4707850345646938,0.38922155688622756,Under,155.0,2.55,155.0,1.0,1.5499999999999998,100.0,154.99999999999997,1.5499999999999998,,Win,0.5716535433070866,0.11713748073089109,74.38230026411584,17438.23002641159,2026,2026-04,>= +151,2026 Frozen Test,0.12935602460643164
KPROP-00636,2026-04-21 18:45:38,2026-04-21,Foster Griffin,120,144,Home,bovada,,,-130.0,-130.0,4.5,3.8132147538601546,4.5,0.6867852461398454,0.1770238052180596,0.6652743246884685,0.5403677058353318,Under,-130.0,1.7692307692307692,-130.0,1.0,0.7692307692307692,100.0,76.92307692307692,0.7692307692307692,,Win,0.5723270440251572,0.11816278464362676,75.15153103334661,17515.15310333467,2026,2026-04,-149 to -120,2026 Frozen Test,0.2301309467834775
KPROP-00637,2026-04-21 19:40:38,2026-04-21,Kris Bubic,118,110,Home,betonlineag,,,-120.0,-120.0,6.5,5.57335987565204,6.5,0.9266401243479603,0.23653457069691175,0.6744734021983154,0.5278969957081545,Under,-120.0,1.8333333333333335,-120.0,1.0,0.8333333333333335,100.0,83.33333333333334,0.8333333333333335,,Win,0.5729984301412873,0.11928550136056507,75.98486436667994,17598.486436668,2026,2026-04,-149 to -120,2026 Frozen Test,0.28384148483629407
KPROP-00638,2026-04-21 19:40:38,2026-04-21,Shota Imanaga,112,143,Home,betrivers,,,135.0,135.0,5.5,5.759390191815107,5.5,-0.2593901918151067,0.13988657050444242,0.48505811510827335,0.3973509933774834,Under,135.0,2.35,135.0,1.0,1.35,100.0,135.0,1.35,,Win,0.5736677115987461,0.121214520950909,77.33486436667994,17733.486436668,2026,2026-04,+121 to +150,2026 Frozen Test,0.10361968185514253
KPROP-00639,2026-04-21 19:40:38,2026-04-21,Shota Imanaga,112,143,Home,fanatics,,,-125.0,-125.0,6.5,5.759390191815107,6.5,0.7406098081848933,0.1607965135199233,0.6448869519555129,0.5431472081218274,Under,-125.0,1.8,-125.0,1.0,0.8,100.0,80.0,0.8,,Win,0.5743348982785602,0.12227678304644747,78.13486436667993,17813.486436668,2026,2026-04,-149 to -120,2026 Frozen Test,0.20099564189990413
KPROP-00640,2026-04-21 18:40:38,2026-04-21,Steven Matz,139,113,Home,betrivers,,,140.0,140.0,4.5,4.800859808996825,4.5,-0.3008598089968251,0.14264541154552568,0.4761022548106357,0.40090771558245086,Under,140.0,2.4,140.0,1.0,1.4,100.0,140.0,1.4,,Win,0.575,0.1242732255729374,79.53486436667994,17953.486436668,2026,2026-04,+121 to +150,2026 Frozen Test,0.10188957967537549
KPROP-00641,2026-04-21 18:40:38,2026-04-21,Steven Matz,139,113,Home,fanatics,,,-130.0,-130.0,5.5,4.800859808996825,5.5,0.6991401910031749,0.1515147887604007,0.6508561849515309,0.5564982645584265,Under,-130.0,1.7692307692307692,-130.0,1.0,0.7692307692307692,100.0,76.92307692307692,0.7692307692307692,,Win,0.5756630265210608,0.12527939958800424,80.30409513591071,18030.409513591076,2026,2026-04,-149 to -120,2026 Frozen Test,0.19696922538852094
KPROP-00642,2026-04-22 16:10:38,2026-04-22,Aaron Civale,133,136,Away,bovada,,,110.0,110.0,4.5,4.465722995986637,4.5,0.03427700401336331,0.13110570578480163,0.5386217646594293,0.45809161832366474,Under,110.0,2.1,110.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5747663551401869,0.12352662793755563,79.30409513591071,17930.409513591076,2026,2026-04,+100 to +120,2026 Frozen Test,0.11918700525891056
KPROP-00643,2026-04-22 19:10:38,2026-04-22,Clay Holmes,121,142,Home,bovada,,,-110.0,-110.0,4.5,4.201722261500246,4.5,0.29827773849975436,0.12539417462536195,0.5894921867085229,0.5,Under,-110.0,1.9090909090909092,-110.0,1.0,0.9090909090909092,100.0,90.90909090909092,0.9090909090909092,,Win,0.5754276827371695,0.12474834532659661,80.21318604500162,18021.318604500168,2026,2026-04,-119 to -101,2026 Frozen Test,0.13793359208789813
