feature,perm_delta_24,rank_24,perm_delta_25,rank_25
p_k_roll5_vs_career,2.492898701631496e-05,167,-6.237612611108556e-05,319
umpire_hits_allowed_avg_prior,2.473494153647504e-05,168,-8.417854058442308e-05,336
sc_velocity_slope_roll8,2.3472570442062413e-05,169,0.0003607431716494025,49
p_k_roll5_vs_season,2.3105280219648527e-05,170,0.00026321988068862546,61
opp_batting_runs_roll10,2.109760158239826e-05,171,0.00015371671629265115,91
p_bf_per_ip_roll20,2.1039155097901664e-05,172,4.25098790661993e-05,173
p_strikes_std_roll3,1.9207574326851608e-05,173,-0.00022080339134387117,384
p_walks_std_roll5,1.8859239246515892e-05,174,-0.00041459856373677885,399
p_hits_per_ip_roll10,1.841620999167848e-05,175,0.00016488661832210206,83
p_high_pitch_rate_100_roll5,1.579561035442989e-05,176,-5.040738135628775e-05,308
p_hits_per_ip_roll5,1.5226002104018477e-05,177,-3.350091114011633e-05,290
p_innings_pitched_max_roll5,1.5215209484464864e-05,178,4.887688791588296e-06,218
p_innings_pitched_max_roll3,1.4035662680056405e-05,179,3.9578971746134785e-05,182
p_strike_rate_career_prior,1.2834449214538246e-05,180,0.0002731568578567156,60
p_deep_start_rate_6ip_roll5,1.2214812335908931e-05,181,-4.576457250407007e-05,305
p_low_pitch_rate_under80_roll20,1.1076734409498634e-05,182,-6.369066639329013e-05,320
sc_slider_pct_roll3,1.0996525942008618e-05,183,7.61871907867695e-05,146
sc_avg_release_speed_roll10,9.505771974360755e-06,184,0.000146254844854532,96
sc_swinging_strike_rate_roll10,9.44665641871012e-06,185,-0.00026968606370987304,386
pitcher_starts_ytd,9.02659072608003e-06,186,-2.1891853539135476e-05,274
opp_pitcher_walks_roll5,8.890743437928172e-06,187,4.159479251990561e-05,177
p_k_rate_roll10,8.458975391145707e-06,188,0.0006783351660299309,26
p_short_start_rate_under5ip_roll3,8.425944274481623e-06,189,7.938206706947782e-06,213
sc_fastball_pct_avg_prior,5.944026702087157e-06,190,-6.155174895168258e-05,318
league_k_mean_roll3,5.306768858415189e-06,191,4.702087011063671e-05,170
p_k_roll10_vs_season,3.685946208609181e-06,192,-0.0001766266464808375,379
venue_hits_allowed_roll3,2.579806182856359e-06,193,0.0002788529154314601,59
venue_strikeouts_roll3,2.0303227552531666e-06,194,9.979609389265676e-05,125
p_low_pitch_rate_under80_roll3,1.8617339428317336e-06,195,-3.7724278979967e-06,254
p_strikeouts_trimmed_roll5,1.7808261747243036e-06,196,4.697022659356786e-05,171
opp_lineup_weighted_fastball_whiff_per_pitch_prior,0.0,197,0.0,230
opp_lineup_weighted_breaking_whiff_per_pitch_prior,0.0,198,0.0,229
opp_lineup_weighted_slider_whiff_per_pitch_prior,0.0,199,0.0,228
