,0
p_walks_std_roll20,0.000514098194023991
p_innings_pitched_std_roll10,0.0005105944902180781
p_bb_rate_roll10,0.0005069439060126015
venue_hits_allowed_roll20,0.0005030709452108975
sc_csw_slope_roll8,0.0005017276910030258
p_k_per_ip_roll3,0.000499254618423328
opp_pitcher_walks_roll10,0.0004972789966872117
umpire_hits_allowed_roll3,0.0004952646676327241
opp_batting_runs_roll10,0.0004934192373099787
sc_offspeed_pct_roll20,0.0004922822338960717
p_hits_allowed_std_roll3,0.0004903430713933026
p_k_rate_roll3,0.0004888843738068548
p_innings_pitched_career_avg_prior,0.0004885335643390879
p_batters_faced_roll3,0.0004877214416122243
p_k_per_ip_roll10,0.0004849757779346141
umpire_hits_allowed_roll5,0.0004822596929057644
p_bb_rate_career_prior,0.0004816015324651914
p_pitches_max_roll5,0.0004782961860423915
opp_pitcher_hits_allowed_avg_prior,0.00047676412768091154
p_bb_per_ip_roll5,0.00047437609302028243
p_strikes_std_roll3,0.0004714498713242131
p_pitches_range_roll10,0.0004700549690449163
p_pitches_min_roll5,0.0004657277897156391
p_strike_rate_roll5,0.00046319387096864755
p_hits_per_ip_roll3,0.00046019988997417113
p_deep_start_rate_6ip_roll10,0.00045764320418477015
sc_slider_pct_roll20,0.00045431021841986063
p_hits_allowed_roll5,0.0004522876043573135
p_bb_per_ip_roll20,0.00045037928862555867
sc_offspeed_pct_roll5,0.0004489704598406653
sc_avg_release_speed_roll10,0.0004332648928037065
sc_offspeed_pct_roll10,0.00043297394674314305
p_innings_pitched_max_roll3,0.0004285649262674148
opp_pitcher_hits_allowed_roll3,0.00042588432773983046
sc_called_strike_rate_avg_prior,0.00041919340145483714
p_bb_per_ip_roll10,0.00041881590766696845
opp_batting_pa_roll3,0.000413532388231049
umpire_walks_roll20,0.00041335577808284
p_hits_per_ip_roll5,0.0004094177667810871
p_hits_allowed_roll10,0.0004080148473481873
p_high_pitch_rate_90_roll3,0.00040687024888554627
sc_called_strike_rate_roll10,0.00040631085317186026
p_pitches_range_roll20,0.00040575624293659983
sc_slider_pct_roll5,0.0004042640342231231
opp_batting_hits_roll5,0.0004025496078130118
p_walks_roll20,0.000402381523669267
p_k_roll5_vs_career,0.0004019035618002115
p_bf_per_ip_career_prior,0.0004007143340757915
p_hits_per_bf_roll5,0.0003975679720983237
p_walks_std_roll3,0.0003962518074506407
p_fip_no_hr_roll5,0.00039595140548667935
p_batters_faced_roll5,0.00039168153001712975
sc_max_release_speed_avg_prior,0.00038712596916621017
p_hits_per_ip_roll20,0.0003805170162453972
sc_fastball_pct_roll10,0.00037597048282638016
opp_pitcher_walks_roll20,0.0003727908635137087
p_bb_rate_roll5,0.0003724659221589904
p_high_pitch_rate_90_career_prior,0.0003711816149419164
p_hits_per_bf_career_prior,0.0003687445972929873
p_fip_no_hr_roll20,0.0003676236960231653
p_k_per_ip_roll5,0.0003672348741533823
p_high_pitch_rate_100_roll20,0.00036185457435025556
p_strikeouts_std_roll3,0.00036095379841619374
umpire_strikeouts_roll3,0.0003599213363885142
p_pitches_std_roll20,0.00035976450359015373
p_strikes_career_avg_prior,0.0003588799873791486
p_bb_rate_roll20,0.00035835295568206093
sc_breaking_pct_avg_prior,0.00035712968910775824
opp_batting_runs_roll5,0.00034997594501802806
sc_fastball_pct_roll20,0.0003482613079863446
p_bb_per_ip_roll3,0.00034691072459750865
p_hits_allowed_roll3,0.00034308284074958495
sc_breaking_pct_roll10,0.0003373082161820714
p_innings_pitched_roll5,0.0003368006762082578
catcher_csr_avg_prior,0.0003366497461223618
p_k_roll3_vs_roll20,0.00033553378641672027
p_batters_faced_std_roll5,0.00033373553775575045
sc_breaking_pct_roll3,0.0003329729057351027
p_fip_no_hr_roll3,0.0003319188983983891
p_deep_start_rate_6ip_roll20,0.00033127304682603685
sc_offspeed_pct_roll3,0.0003280422416797851
sc_zone_rate_roll3,0.0003279598923778182
p_bb9_roll20,0.0003266864472264935
