fetched_at,event_id,commence_time,home_team,away_team,bookmaker,bookmaker_title,bookmaker_last_update,market,api_market,player_name,line,over_odds,under_odds,snapshot_type,requested_snapshot,historical_snapshot,game_date,pitcher_id,pitcher_name,team,opponent
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,draftkings,DraftKings,2026-06-19T18:15:21Z,walks,pitcher_walks,Ben Brown,1.5,106,-141,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,draftkings,DraftKings,2026-06-19T18:15:21Z,walks,pitcher_walks,Kevin Gausman,1.5,-149,112,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betonlineag,BetOnline.ag,2026-06-19T18:15:32Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-122,-106,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betonlineag,BetOnline.ag,2026-06-19T18:15:32Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-143,110,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T18:14:43Z,hits_allowed,pitcher_hits_allowed,Kevin Gausman,4.5,-155,115,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T18:14:43Z,hits_allowed,pitcher_hits_allowed,Ben Brown,4.5,-125,-105,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T18:14:43Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-118,-110,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,betmgm,BetMGM,2026-06-19T18:14:43Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-130,-105,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T18:14:58Z,hits_allowed,pitcher_hits_allowed,Ben Brown,4.5,-130,-110,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T18:14:58Z,hits_allowed,pitcher_hits_allowed,Kevin Gausman,4.5,-155,115,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T18:14:58Z,strikeouts,pitcher_strikeouts,Ben Brown,4.5,-120,-110,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T18:14:58Z,strikeouts,pitcher_strikeouts,Kevin Gausman,5.5,-125,-105,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T18:14:58Z,walks,pitcher_walks,Ben Brown,1.5,105,-145,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,676962,Ben Brown,112,141
2026-06-19T18:15:36Z,3530063d3d9cd6eb5811962deca7c6ed,2026-06-19T18:21:00Z,Chicago Cubs,Toronto Blue Jays,bovada,Bovada,2026-06-19T18:14:58Z,walks,pitcher_walks,Kevin Gausman,1.5,-150,110,close,2026-06-19T18:18:00Z,2026-06-19T18:15:36Z,2026-06-19,592332,Kevin Gausman,141,112
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,fanduel,FanDuel,2026-06-19T18:40:14Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-102,-120,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,fanatics,Fanatics,2026-06-19T18:40:28Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,120,-170,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,fanatics,Fanatics,2026-06-19T18:40:28Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-105,-125,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,betonlineag,BetOnline.ag,2026-06-19T18:40:01Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-108,-120,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,draftkings,DraftKings,2026-06-19T18:39:47Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,103,-137,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,draftkings,DraftKings,2026-06-19T18:39:47Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,108,-138,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,draftkings,DraftKings,2026-06-19T18:39:47Z,walks,pitcher_walks,Tarik Skubal,0.5,-221,164,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,betmgm,BetMGM,2026-06-19T18:40:29Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,115,-155,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
